UF,InicioSemana,Etanol,Gasolina,Paridade,EtanolCompensa
AC,2024-09-02,4.98,7.19,0.6926286509040334,True
AC,2024-09-09,4.96,7.19,0.6898470097357441,True
AC,2024-09-16,4.97,7.19,0.6912378303198886,True
AC,2024-09-23,5.14,7.53,0.6826029216467463,True
AC,2024-09-30,4.99,7.19,0.694019471488178,True
AC,2024-10-07,4.98,7.19,0.6926286509040334,True
AC,2024-10-14,4.99,7.445,0.6702484889187375,True
AC,2024-10-21,5.24,7.53,0.6958831341301461,True
AC,2024-10-28,4.99,7.48,0.6671122994652406,True
AC,2024-11-04,5.1899999999999995,7.49,0.692923898531375,True
AC,2024-11-11,5.05,7.49,0.6742323097463284,True
AC,2024-11-18,5.09,7.48,0.6804812834224598,True
AC,2024-11-25,5.29,7.640000000000001,0.6924083769633508,True
AC,2024-12-02,5.29,7.49,0.7062750333778371,False
AC,2024-12-09,5.1899999999999995,7.49,0.692923898531375,True
AC,2024-12-16,5.29,7.49,0.7062750333778371,False
AC,2024-12-23,5.29,7.49,0.7062750333778371,False
AC,2024-12-30,5.29,7.49,0.7062750333778371,False
AC,2025-01-06,5.59,7.73,0.723156532988357,False
AC,2025-01-13,5.1899999999999995,7.49,0.692923898531375,True
AC,2025-01-20,5.28,7.4350000000000005,0.7101546738399462,False
AC,2025-01-27,5.28,7.4350000000000005,0.7101546738399462,False
AC,2025-02-03,5.24,7.41,0.7071524966261808,False
AC,2025-02-10,5.34,7.69,0.694408322496749,True
AC,2025-02-17,5.34,7.69,0.694408322496749,True
AC,2025-02-24,5.34,7.69,0.694408322496749,True
AC,2025-03-03,5.395,7.69,0.701560468140442,False
AC,2025-03-10,5.34,7.69,0.694408322496749,True
AC,2025-03-17,5.470000000000001,7.69,0.7113133940182055,False
AC,2025-03-24,5.470000000000001,7.64,0.7159685863874347,False
AC,2025-03-31,5.49,8.07,0.6802973977695167,True
AC,2025-04-07,5.470000000000001,7.67,0.713168187744459,False
AC,2025-04-14,5.45,7.645,0.7128842380640943,False
AC,2025-04-21,5.95,8.09,0.7354758961681088,False
AC,2025-04-28,5.39,7.69,0.7009102730819246,False
AC,2025-05-05,5.49,7.69,0.7139141742522757,False
AC,2025-05-12,5.4399999999999995,7.63,0.7129750982961992,False
AC,2025-05-19,5.470000000000001,7.69,0.7113133940182055,False
AC,2025-05-26,5.395,7.69,0.701560468140442,False
AC,2025-06-02,5.470000000000001,7.69,0.7113133940182055,False
AC,2025-06-09,5.445,7.67,0.7099087353324642,False
AC,2025-06-16,5.390000000000001,7.64,0.705497382198953,False
AC,2025-06-23,5.44,8.07,0.6741016109045849,True
AC,2025-06-30,5.390000000000001,7.64,0.705497382198953,False
AC,2025-07-07,5.390000000000001,7.64,0.705497382198953,False
AC,2025-07-14,5.445,7.615,0.7150361129349967,False
AC,2025-07-21,5.305,7.5649999999999995,0.7012557832121613,False
AC,2025-07-28,5.95,8.09,0.7354758961681088,False
AC,2025-08-04,5.305,7.5649999999999995,0.7012557832121613,False
AC,2025-08-11,5.32,7.83,0.6794380587484036,True
AC,2025-08-18,5.29,7.53,0.7025232403718459,False
AC,2025-08-25,5.95,8.09,0.7354758961681088,False
AC,2025-09-01,5.29,7.49,0.7062750333778371,False
AC,2025-09-08,5.29,7.53,0.7025232403718459,False
AC,2025-09-15,5.29,7.51,0.7043941411451399,False
AC,2025-09-22,5.27,7.415,0.7107215104517869,False
AC,2025-09-29,5.29,7.53,0.7025232403718459,False
AC,2025-10-06,5.29,7.44,0.711021505376344,False
AC,2025-10-13,5.27,7.39,0.713125845737483,False
AC,2025-10-20,5.29,7.39,0.7158322056833559,False
AC,2025-10-27,5.24,7.32,0.7158469945355191,False
AC,2025-11-03,5.27,7.44,0.7083333333333333,False
AC,2025-11-10,5.245,7.37,0.7116689280868386,False
AC,2025-11-17,5.25,7.38,0.7113821138211383,False
AC,2025-11-24,5.27,7.37,0.7150610583446404,False
AC,2025-12-01,5.25,7.345000000000001,0.7147719537100068,False
AC,2025-12-08,5.27,7.39,0.713125845737483,False
AC,2025-12-22,5.95,7.97,0.7465495608531996,False
AC,2025-12-29,5.245,7.38,0.7107046070460705,False
AC,2026-01-05,5.19,7.305,0.7104722792607804,False
AC,2026-01-12,5.25,7.38,0.7113821138211383,False
AC,2026-01-19,5.23,7.305,0.7159479808350446,False
AC,2026-01-26,5.19,7.29,0.7119341563786009,False
AC,2026-02-02,5.24,7.355,0.7124405166553365,False
AC,2026-02-09,5.17,7.28,0.7101648351648351,False
AC,2026-02-16,5.19,7.305,0.7104722792607804,False
AC,2026-02-23,5.95,7.97,0.7465495608531996,False
AC,2026-03-02,5.95,7.97,0.7465495608531996,False
AC,2026-03-09,6.21,8.19,0.7582417582417583,False
AC,2026-03-16,6.04,8.17,0.7392900856793145,False
AC,2026-03-23,5.29,7.53,0.7025232403718459,False
AC,2026-04-27,6.39,8.46,0.7553191489361701,False
AC,2026-05-04,5.29,7.39,0.7158322056833559,False
AC,2026-05-11,5.285,7.385,0.7156398104265403,False
AC,2026-05-18,5.29,7.39,0.7158322056833559,False
AC,2026-05-25,5.305,7.365,0.7202987101154107,False
AC,2026-06-01,5.32,7.29,0.729766803840878,False
AC,2026-06-08,5.19,7.39,0.702300405953992,False
AC,2026-06-15,5.32,7.39,0.7198917456021652,False
AC,2026-06-22,5.235,7.39,0.7083897158322058,False
AC,2026-06-29,5.135,7.38,0.6957994579945799,True
AC,2026-07-06,4.99,7.32,0.6816939890710383,True
AC,2026-07-13,6.39,8.46,0.7553191489361701,False
AC,2026-07-20,5.04,7.29,0.691358024691358,True
AC,2026-07-27,5.135,7.29,0.7043895747599451,False
AC,2026-08-03,5.04,7.28,0.6923076923076923,True
AC,2026-08-10,4.99,7.29,0.6844993141289438,True
AC,2026-08-17,5.04,7.29,0.691358024691358,True
AC,2026-08-24,4.99,7.29,0.6844993141289438,True
AC,2026-08-31,4.99,7.29,0.6844993141289438,True
AL,2024-09-02,4.99,6.29,0.7933227344992051,False
AL,2024-09-09,4.99,6.29,0.7933227344992051,False
AL,2024-09-16,4.98,6.29,0.7917329093799683,False
AL,2024-09-23,4.89,6.29,0.7774244833068362,False
AL,2024-09-30,4.79,6.19,0.7738287560581583,False
AL,2024-10-07,4.69,6.09,0.7701149425287357,False
AL,2024-10-14,4.68,6.09,0.7684729064039408,False
AL,2024-10-21,4.65,6.09,0.7635467980295567,False
AL,2024-10-28,4.59,6.09,0.7536945812807881,False
AL,2024-11-04,4.58,6.08,0.7532894736842105,False
AL,2024-11-11,4.49,5.99,0.7495826377295493,False
AL,2024-11-18,4.59,6.19,0.7415185783521808,False
AL,2024-11-25,4.59,6.19,0.7415185783521808,False
AL,2024-12-02,4.59,6.19,0.7415185783521808,False
AL,2024-12-09,4.59,6.19,0.7415185783521808,False
AL,2024-12-16,4.55,6.15,0.7398373983739837,False
AL,2024-12-23,4.55,6.15,0.7398373983739837,False
AL,2024-12-30,4.49,6.09,0.7372742200328408,False
AL,2025-01-06,4.55,6.14,0.741042345276873,False
AL,2025-01-13,4.69,6.29,0.7456279809220986,False
AL,2025-01-20,4.69,6.29,0.7456279809220986,False
AL,2025-01-27,4.89,6.29,0.7774244833068362,False
AL,2025-02-03,4.99,6.39,0.780907668231612,False
AL,2025-02-10,4.99,6.39,0.780907668231612,False
AL,2025-02-17,4.99,6.39,0.780907668231612,False
AL,2025-02-24,4.99,6.39,0.780907668231612,False
AL,2025-03-03,4.99,6.37,0.783359497645212,False
AL,2025-03-10,4.98,6.35,0.7842519685039371,False
AL,2025-03-17,4.98,6.29,0.7917329093799683,False
AL,2025-03-24,4.89,6.29,0.7774244833068362,False
AL,2025-03-31,4.89,6.19,0.7899838449111469,False
AL,2025-04-07,5.05,6.39,0.7902973395931142,False
