SK_Bandeira,Bandeira,GrupoBandeira,EhBandeiraBranca
1,ALE,Ale,False
2,AMERICANOIL,Outras,False
3,ATEM' S,Outras,False
4,ATLÂNTICA,Outras,False
5,BRANCA,Branca (sem bandeira),True
6,CHARRUA,Outras,False
7,CIAPETRO,Outras,False
8,DIBRAPE,Outras,False
9,DISLUB,Outras,False
10,D`MAIS,Outras,False
11,EQUADOR,Outras,False
12,ESTRADA,Outras,False
13,FAN,Outras,False
14,FEDERAL ENERGIA,Outras,False
15,GP,Outras,False
16,IDAZA,Outras,False
17,IPIRANGA,Ipiranga,False
18,LARCO,Outras,False
19,MASUT DISTRIBUIDORA,Outras,False
20,MAXSUL,Outras,False
21,MONTEPETRO,Outras,False
22,NEXTA,Outras,False
23,ON PETRO,Outras,False
24,PELIKANO,Outras,False
25,PETROBAHIA,Outras,False
26,PETROBRASIL,Outras,False
27,PETROSERRA,Outras,False
28,PETROX DISTRIBUIDORA,Outras,False
29,POTENCIAL,Outras,False
30,RAIZEN,Raizen,False
31,RAIZEN MIME,Outras,False
32,RDP ENERGIA,Outras,False
33,RIO BRANCO,Outras,False
34,RODOIL,Outras,False
35,ROYAL FIC,Outras,False
36,RZD DISTRIBUIDORA,Outras,False
37,SABBÁ,Outras,False
38,SANTA LUCIA,Outras,False
39,SETTA DISTRIBUIDORA,Outras,False
40,SIM DISTRIBUIDOR,Outras,False
41,SP,Outras,False
42,STANG,Outras,False
43,TAURUS,Outras,False
44,TDC DISTRIBUIDORA,Outras,False
45,TEMAPE,Outras,False
46,TOTALENERGIES,Outras,False
47,VIBRA,Vibra,False
48,WALENDOWSKY,Outras,False
49,WATT,Outras,False
