SK_Municipio,Regiao,UF,Municipio,NomeRegiao,UF_Municipio
1,CO,DF,BRASILIA,Centro-Oeste,BRASILIA / DF
2,CO,GO,AGUAS LINDAS DE GOIAS,Centro-Oeste,AGUAS LINDAS DE GOIAS / GO
3,CO,GO,ANAPOLIS,Centro-Oeste,ANAPOLIS / GO
4,CO,GO,APARECIDA DE GOIANIA,Centro-Oeste,APARECIDA DE GOIANIA / GO
5,CO,GO,CALDAS NOVAS,Centro-Oeste,CALDAS NOVAS / GO
6,CO,GO,CATALAO,Centro-Oeste,CATALAO / GO
7,CO,GO,FORMOSA,Centro-Oeste,FORMOSA / GO
8,CO,GO,GOIANIA,Centro-Oeste,GOIANIA / GO
9,CO,GO,GOIATUBA,Centro-Oeste,GOIATUBA / GO
10,CO,GO,ITUMBIARA,Centro-Oeste,ITUMBIARA / GO
11,CO,GO,LUZIANIA,Centro-Oeste,LUZIANIA / GO
12,CO,GO,MINEIROS,Centro-Oeste,MINEIROS / GO
13,CO,GO,MORRINHOS,Centro-Oeste,MORRINHOS / GO
14,CO,GO,PORANGATU,Centro-Oeste,PORANGATU / GO
15,CO,GO,RIO VERDE,Centro-Oeste,RIO VERDE / GO
16,CO,GO,TRINDADE,Centro-Oeste,TRINDADE / GO
17,CO,GO,VALPARAISO DE GOIAS,Centro-Oeste,VALPARAISO DE GOIAS / GO
18,CO,MS,CAMPO GRANDE,Centro-Oeste,CAMPO GRANDE / MS
19,CO,MS,CORUMBA,Centro-Oeste,CORUMBA / MS
20,CO,MS,DOURADOS,Centro-Oeste,DOURADOS / MS
21,CO,MS,PONTA PORA,Centro-Oeste,PONTA PORA / MS
22,CO,MS,TRES LAGOAS,Centro-Oeste,TRES LAGOAS / MS
23,CO,MT,ALTA FLORESTA,Centro-Oeste,ALTA FLORESTA / MT
24,CO,MT,CACERES,Centro-Oeste,CACERES / MT
25,CO,MT,CUIABA,Centro-Oeste,CUIABA / MT
26,CO,MT,RONDONOPOLIS,Centro-Oeste,RONDONOPOLIS / MT
27,CO,MT,SINOP,Centro-Oeste,SINOP / MT
28,CO,MT,SORRISO,Centro-Oeste,SORRISO / MT
29,CO,MT,VARZEA GRANDE,Centro-Oeste,VARZEA GRANDE / MT
30,N,AC,CRUZEIRO DO SUL,Norte,CRUZEIRO DO SUL / AC
31,N,AC,RIO BRANCO,Norte,RIO BRANCO / AC
32,N,AM,MANACAPURU,Norte,MANACAPURU / AM
33,N,AM,MANAUS,Norte,MANAUS / AM
34,N,AM,PARINTINS,Norte,PARINTINS / AM
35,N,AP,MACAPA,Norte,MACAPA / AP
36,N,AP,SANTANA,Norte,SANTANA / AP
37,N,PA,ABAETETUBA,Norte,ABAETETUBA / PA
38,N,PA,ALENQUER,Norte,ALENQUER / PA
39,N,PA,ALTAMIRA,Norte,ALTAMIRA / PA
40,N,PA,ANANINDEUA,Norte,ANANINDEUA / PA
41,N,PA,BELEM,Norte,BELEM / PA
42,N,PA,BRAGANCA,Norte,BRAGANCA / PA
43,N,PA,CASTANHAL,Norte,CASTANHAL / PA
44,N,PA,CONCEICAO DO ARAGUAIA,Norte,CONCEICAO DO ARAGUAIA / PA
45,N,PA,MARABA,Norte,MARABA / PA
46,N,PA,PARAGOMINAS,Norte,PARAGOMINAS / PA
47,N,PA,PARAUAPEBAS,Norte,PARAUAPEBAS / PA
48,N,PA,SANTAREM,Norte,SANTAREM / PA
49,N,RO,ARIQUEMES,Norte,ARIQUEMES / RO
50,N,RO,CACOAL,Norte,CACOAL / RO
51,N,RO,JI-PARANA,Norte,JI-PARANA / RO
52,N,RO,PIMENTA BUENO,Norte,PIMENTA BUENO / RO
53,N,RO,PORTO VELHO,Norte,PORTO VELHO / RO
54,N,RO,VILHENA,Norte,VILHENA / RO
55,N,RR,BOA VISTA,Norte,BOA VISTA / RR
56,N,TO,ARAGUAINA,Norte,ARAGUAINA / TO
57,N,TO,GURUPI,Norte,GURUPI / TO
58,N,TO,PALMAS,Norte,PALMAS / TO
59,N,TO,PARAISO DO TOCANTINS,Norte,PARAISO DO TOCANTINS / TO
60,N,TO,PORTO NACIONAL,Norte,PORTO NACIONAL / TO
61,NE,AL,ARAPIRACA,Nordeste,ARAPIRACA / AL
