SK_Revenda,ID_Revenda,NomeRevenda
1,00105ce1b419,POSTO ABASTECIMENTO SAO JOSE LTDA
2,0017fcda6d6a,AUTO POSTO SAO PAULO LTDA
3,00205e4b01e3,POSTO TN COMERCIO DE DERIVADOS DE PETROLEO LTDA
4,002522004d36,AUTO POSTO SAN REMO LTDA
5,002761a695f6,POSTO DE SERVICOS REQUINTE COMERCIO DE COMBUSTIVEIS LTDA
6,002b7710960d,POSTO TORRE LESTE LTDA
7,002d669bd15d,POSTO 5.5. LIMITADA
8,003017fcce7d,POSTO FAISCA LTDA.
9,0032ac3f62a6,J M L DINIZ COMERCIO DE DERIVADOS DE PETROLEO LTDA
10,00339e8fefa6,NICOLAU DERIVADOS DE PETROLEO LTDA
11,00354ba4d9e8,AUTO POSTO SABIA AZUL LTDA
12,0040997ef700,POSTO ITAMARATI - YANTRA LTDA.
13,004817333b9d,ARGETAX ADMINISTRACAO E PARTICIPACOES EM EMPREENDIMENTOS COMERCIAIS LTDA
14,0052289cebf1,CENTRO AUTOMOTIVO COSTA DO SAUIPE LTDA
15,005ef50e6259,AUTO POSTO SANTA LUIZA LTDA
16,006118c57c60,AUTO POSTO MARANHAO LTDA
17,006135fb736d,POSTO ANTUNES LTDA
18,006172ebc052,AUTO POSTO JATINHO LTDA
19,006f03e06355,POSTO PARISENTI LTDA
20,007e6ccffe1a,ATHENA - COMÉRCIO DE COMBUSTÍVEIS LTDA.
21,008a70265d75,SIM REDE DE POSTOS LTDA
22,0091dce42b89,AUTO POSTO LC VITRINE LTDA
23,0093648d3f09,AUTO POSTO SALVATERRA LTDA
24,009e62757822,AUTO POSTO MORRO DO MEIO LTDA
25,00a59bc5d44c,AUTO POSTO QUATROCENTAO LTDA.
26,00a7a40a3a39,K DE J C RIOS COSTA EIRELI
27,00c270022b96,B M T VALENCA LTDA
28,00c353c8a9cd,POSTO DAS NACOES LTDA
29,00cb2892905a,AUTO POSTO PORTAL DA ALDEIA LTDA.
30,00ce98a44ea6,NOVO HYPERION RIO POSTO DE GASOLINA LTDA
31,00d1e1264bea,AUTO POSTO GC VALENCA COMERCIO DE COMBUSTIVEIS LTDA
32,00d5692942d7,J C COMERCIO DE COMBUSTIVEL LTDA
33,00eb122df346,POSTO CENTRAL DE LAGARTO LTDA
34,00f994f3b4b7,AUTO POSTO PETRO SOL RIO CLARO LTDA
35,0100b5220b34,AUTO POSTO RETAO DA DUTRA LTDA
36,0107a14c0239,LOURENCO ARAUJO FORTES E FILHOS LTDA
37,01100c766f4c,IRMAOS MIGUEL RODRIGUES LTDA
38,01117a1b8b6a,POSTO HIDROLANDIA LTDA
39,01209c828bd4,AUTO POSTO AVENIDA CENTRAL LTDA
40,012ab5d04194,HIPERPETRO II COMERCIO VAREJISTA DE DERIVADOS DE PETROLEO LTDA.
41,013368a9ecb1,POSTO VALVIC 22 LTDA
42,0135efe6d07e,AUTO POSTO MARINER DE RIBEIRAO PRETO LTDA
43,0138c93b6321,POSTO PERSONNALITE COMBUSTIVEIS LTDA
44,013d66e94cd7,POSTO PORTAL ALTO DA BOA VISTA LTDA.
45,01455989928c,AUTO POSTO VIEIRA E FERNANDES LTDA
46,014bc4937927,PERALTA'S POSTO DE SERVICOS LTDA
47,014d75d2666a,COMERCIO DE COMBUSTIVEIS CACHOEIRA LTDA
48,014dfd675c9e,"REDE FARROUPILHA GESTAO, VAREJO E INOVACAO LTDA"
49,0157ee6ac27f,AUTO POSTO SAO GERALDO LTDA
50,0158e82cf8be,AUTO POSTO AUSTRAL DE GNV LTDA
51,0161dca17396,P M C COMERCIO VAREJISTA DE COMBUSTIVEIS E LUBRIFICANTES LTDA
52,0163de2b5a73,POSTO GENTIL IPATINGA LTDA
53,016721d2f0ca,RB CAVALCANTI COMERCIO DE COMBUSTIVEIS LTDA
54,016b9598b683,POSTO ALTO DA CIDADE LTDA
55,017283264c69,AUTO POSTO PETROBRASILIA LTDA
56,01744a3c1258,EIXINHO L 212 NORTE COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA
57,01818720a6c4,WHL COMERCIAL LTDA.
58,018befce3a80,JOAO HENRIQUE GODEIRO
59,018cbd0071bf,VIEIRA & PIZZOLI VIEIRA LTDA
60,0198f12d48db,POSTO 7 ARARAS LTDA
61,019d374d2444,AUTO POSTO PECANHA S.A
62,019e21aba2f6,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA
63,01a53bde7c49,AUTO POSTO TRILHA DO VERDE LTDA
64,01b2c32df468,AUTO POSTO E TRANSPORTADORA CARVALHO SALES LTDA.
65,01b46a31f07f,REDE SANTANA COMBUSTIVEIS LEOPOLDINA 2 LTDA
