SK_Evento,Data,SK_Produto,NomeProduto,PrecoAntes,PrecoDepois,DeltaRS,DeltaPct,ZRobusto,Direcao
1,2026-03-09,1,Diesel S10,6.09,6.79,0.7,11.49,6.89,Alta
2,2026-03-16,1,Diesel S10,6.79,7.3,0.51,7.51,5.02,Alta
3,2026-03-23,1,Diesel S10,7.3,7.59,0.29,3.97,2.85,Alta
4,2026-04-27,1,Diesel S10,7.57,7.29,-0.28,-3.7,-2.75,Baixa
5,2026-04-27,2,Etanol,4.89,4.49,-0.4,-8.18,-6.88,Baixa
6,2026-05-04,2,Etanol,4.49,4.69,0.2,4.45,3.44,Alta
7,2025-01-20,3,Gasolina,6.09,6.19,0.1,1.64,2.64,Alta
8,2025-02-03,3,Gasolina,6.19,6.29,0.1,1.62,2.64,Alta
9,2026-01-05,3,Gasolina,6.19,6.29,0.1,1.62,2.64,Alta
10,2026-03-09,3,Gasolina,6.29,6.44,0.15,2.38,3.96,Alta
11,2026-03-16,3,Gasolina,6.44,6.59,0.15,2.33,3.96,Alta
12,2026-03-23,3,Gasolina,6.59,6.75,0.16,2.43,4.22,Alta
